variant,sharpe,max_drawdown,cagr,roc_auc,accuracy,buy_hold_sharpe,sharpe_calm,sharpe_normal,sharpe_stressed
Fixed settings,0.5388505047058879,-0.3453721253096491,0.06672541196368065,0.4996713262886467,0.5019654714475431,1.209382884061503,0.31038119365279987,0.64674262318371,1.4032333379126307
Tuned in each window,0.6814641582533361,-0.31171187210864437,0.08783312313991032,0.4996440807013192,0.5036918990703851,1.209382884061503,0.6254041992813316,0.53537692226613,1.762318785580015
