test_start,test_end,test_auc,test_accuracy,param_max_depth,param_min_samples_leaf
2016-07-05,2016-12-30,0.514854645425067,0.4714285714285714,4,50
2017-01-03,2017-07-03,0.49557296858333866,0.47724867724867726,4,50
2017-07-05,2018-01-02,0.49168961786120063,0.4703703703703704,4,50
2018-01-03,2018-07-03,0.5331036671455116,0.5132275132275133,4,200
2018-07-05,2019-01-03,0.4983918940710612,0.5068783068783069,4,200
2019-01-04,2019-07-05,0.5143703114344169,0.5068783068783069,4,50
2019-07-08,2020-01-03,0.5023349796918958,0.5264550264550265,4,50
2020-01-06,2020-07-06,0.5065693586503486,0.5169312169312169,6,200
2020-07-07,2021-01-04,0.513166669670698,0.5402116402116403,8,50
2021-01-05,2021-07-06,0.5021354505089886,0.48412698412698413,4,200
2021-07-07,2022-01-03,0.5090513312504437,0.5148148148148148,4,50
2022-01-04,2022-07-06,0.48202265508615116,0.4756613756613757,8,50
2022-07-07,2023-01-04,0.4902604675333984,0.5026455026455027,8,200
2023-01-05,2023-07-07,0.5071328680762278,0.5058201058201058,6,200
2023-07-10,2024-01-05,0.47397865292602137,0.4873015873015873,4,200
2024-01-08,2024-07-09,0.4784138595152853,0.5126984126984127,4,200
2024-07-10,2025-01-07,0.4825002334952609,0.5079365079365079,8,200
2025-01-08,2025-07-11,0.5016730423042304,0.5232804232804232,6,200
2025-07-14,2026-01-09,0.520398428731762,0.5142857142857142,4,50
2026-01-12,2026-06-29,0.5205512614113044,0.5166666666666667,6,50
