variant,sharpe,max_drawdown,cagr,roc_auc,accuracy,buy_hold_sharpe,sharpe_calm,sharpe_normal,sharpe_stressed,n_features,sharpe_change,auc_change
All features,0.5388505047058879,-0.3453721253096491,0.06672541196368065,0.4996713262886467,0.5019654714475431,1.209382884061503,0.31038119365279987,0.64674262318371,1.4032333379126307,17,0.0,0.0
Without trend,0.4906892125536973,-0.39044351991650406,0.06206631517642758,0.4982092063988328,0.500531208499336,1.209382884061503,0.3342362382700646,0.45512639019501533,1.4161342792693354,12,-0.048161292152190616,-0.0014621198898138732
Without momentum,0.442483027879639,-0.3843415791058551,0.05314457575460141,0.49805860565353344,0.50066401062417,1.209382884061503,0.38401518211709584,0.5750004167286973,0.711953834152233,13,-0.09636747682624891,-0.0016127206351132517
Without volatility,0.6014545265098781,-0.37586902025330204,0.07631086521343766,0.4993142256632265,0.5020451527224435,1.209382884061503,0.4719078656360397,0.5745706556399611,1.5404884592621548,14,0.06260402180399016,-0.0003571006254202147
Without volume,0.6070152123879792,-0.3483066844715693,0.07708386044673676,0.5005018924726883,0.5039840637450199,1.209382884061503,0.5160760245906084,0.7163257406793365,1.1451172027589172,15,0.06816470768209126,0.0008305661840415923
Without long memory,0.6148718702833897,-0.3566248448284428,0.0788038895071046,0.4991342560586785,0.5051792828685259,1.209382884061503,0.5077394603413072,0.6926620860048202,1.2693675035864378,16,0.07602136557750183,-0.000537070229968184
Without vix,0.6685076688969293,-0.2691242498606151,0.07639225020388851,0.5003755811649503,0.5010358565737052,1.209382884061503,0.5287361158153084,0.691618591339363,1.5300317970801862,15,0.12965716419104134,0.0007042548763036005
