variant,sharpe,max_drawdown,cagr,roc_auc,accuracy,buy_hold_sharpe,sharpe_calm,sharpe_normal,sharpe_stressed,avg_components
No PCA (17 features),0.5388505047058879,-0.3453721253096491,0.06672541196368065,0.4996713262886467,0.5019654714475431,1.209382884061503,0.31038119365279987,0.64674262318371,1.4032333379126307,17.0
PCA keeping 90% of variance,0.4698495356202507,-0.2886062898586187,0.058379775063889694,0.49880192363393466,0.49864541832669323,1.209382884061503,0.3664526693563308,0.16681568750915096,1.6595957258892315,6.8
PCA with 5 components,0.5765050545752834,-0.291214257776253,0.07687675245670045,0.49908160486416075,0.5005577689243028,1.209382884061503,0.5052890578667257,0.41267032769855766,1.6092356438462505,5.0
